id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous,predicted_values,Classification_Success
73623,3843797,(2019 RQ1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
26353,3763102,(2016 UB107),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
21923,3395954,(2007 WK3),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
84202,54131591,(2021 EZ4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
31321,3367721,(2007 CS5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
12939,54215199,(2021 VC),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
40550,3989280,(2020 BQ12),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
38568,3602525,(2012 GA5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
49244,54247854,(2016 FL60),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
85245,54164556,(2021 NB),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
80282,54054445,(2020 RL9),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
48763,54192745,(2021 RP2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
80834,54051129,(2020 OS7),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
12058,3170208,(2003 YG136),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
56771,3741150,(2016 BA40),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
19452,54269583,(2022 GO2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
49803,3907553,(2019 XH2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
41218,3836093,(2018 VB4),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
40313,2436116,436116 (2009 TB3),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
37232,3714453,(2015 FR117),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
36768,3591749,(2011 YY28),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
28031,3465683,(2009 PY),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
75924,3959224,(2019 YC4),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
28538,3745996,(2016 EK84),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
43042,3596037,(2012 BD14),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
62883,3698490,(2014 HL196),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
35174,54031743,(2020 NG),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
17541,3841771,(2019 JJ3),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
31185,3842900,(2019 LE6),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
79726,54054323,(2020 RR6),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
82574,3656411,(2014 BS),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
60062,2350988,350988 (2003 GW),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
76911,54191851,(2021 RM),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
23521,3751815,(2016 GS220),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
20738,3780641,(2017 OR68),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
7768,2141053,141053 (2001 XT1),True,True,True,True,Earth,False,True,True,True,Correctly_Classified
41717,3673636,(2014 LK21),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
1048,3662637,(2014 DG23),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
30675,3514889,(2010 GZ5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
75172,3893276,(2019 WM),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
31412,2263976,263976 (2009 KD5),True,True,True,True,Earth,False,True,True,True,Correctly_Classified
44501,2256004,256004 (2006 UP),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
46764,3771628,(2017 FW2),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
35109,3780732,(2017 QO1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
21919,2348306,348306 (2005 AY28),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
