Component Name,Description,Person of Contact,"Owning Group (AI4CI, CI4AI, etc)",Stand-alone from Tapis? (Yes/No),Depends on (Components),Dependency for Other Components,Which Use-inspired science case is using it now?,Which Use-inspired Science Cases will be using it in the future?,Testing/QA process,"Releases (i.e., how do people get the software?)",Code Repositories,Requirements and Usage Document,Status,Last Time This Row was updated
Base ICICLE Tapis,"Hosted, web-based API for managing data, executing software for research computing, with the goal of: 1) automating workflows, 2) enabling reproducibility and 3) supporting secure collaboration",Joe Stubbs,Software,Yes,ICICLE-Authentcation,*Many,Smart Foodsheds,"Smart Foodsheds, Digital Ag, Animal Ecology",CI via unit and integration tests,"Containers available from: https://hub.docker.com/u/tapis
Services available at: https://icicle.tapis.io
Documentation: https://tapis.readthedocs.org",https://github.com/orgs/tapis-project/repositories,,,10/4/2022
Pods Service (previously KG API),"New API providing web-accessible long-lived containers (pods) as-a-service via Kubernetes. Providing WAN-accessible Neo4J, Postgres, and custom-image HTTP pods with a simple API. More templates on the way.",Christian Garcia,Software,Yes,Base ICCLE Tapis ,,Smart Foodsheds,Hello ICICLE,CI via unit and integration tests,"Containers available from: https://hub.docker.com/u/tapis/pods-api
Services available at: https://icicle.tapis.io/v3/pods
Documentation: https://tapis.readthedocs.io/en/latest/technical/pods.html",https://github.com/tapis-project/pods_service,,,10/4/2022
Event Engine ,Framework for edge simulators and applications,Joe Stubbs,Software,Yes,,,Animal Ecology,,Some automated unit tests as part of packge build,"Rust crate available from: https://crates.io/crates/event-engine 
Containers available from: ",,,,10/4/2022
Camera Traps Edge Simulator ,Command-line program for analyzing edge-to-center tradeoffs within the Camera Traps project,Rich Cardone,Software,Yes,Event Engine,,Animal Ecology,,,Current version in github,https://github.com/tapis-project/camera-traps,,,10/4/2022
Smart Scheduling ,Collection and analysis of historical job data to determine best time-to-solution scheduling option,Rich Cardone,Software,No,Base ICICLE Tapis,"Tapis Jobs, Apps and Systems",,,Integrated with Tapis testing/QA,Current version in github,https://github.com/tapis-project/smart-scheduling,,,10/4/2022
,Python library providing optimizations for PyTorch,Ariful Azad,AI4CI,Yes,,,,,,,,,,10/4/2022
Scispot (?),Framework for utilizing preemptable (commericial) cloud instances,Prateek Sharma,AI4CI,Unclear,,,,,,,"paper:
https://cgi.luddy.indiana.edu/~prateeks/papers/tpds-scispot.pdf",,,10/4/2022
,"Pipeline for predicting application (specifically, ML) runtimes",Swathi Manikya Vallabhajosyula,AI4CI,Yes,,,,,,,,,,10/4/2022
"Visual Analytics Interface for Smart Foodsheds V1
""SmartFoodShed Server V1""","Vue.js 2 webapp that displays Neo4j knowledge graphs with features such as filtering, searching, and drawn selections to provide users a way to read KGs. The application consists of a frontend server consuming parsed Neo4j data from a Flask backend server. Databases are given to the backend via url/user/pass environment variables.","Yamei Tu, Xiaoqi Wang",VA,"Yes, but deployed with Pods service",Tapis Pods ,,Smart Foodsheds,,"Change management mechanism via PR to github repo
Issue tracking through Github",Docker images: https://hub.docker.com/r/tuyamei/smartfoodshed-server ,V1 Repo: https://github.com/ICICLE-ai/Smartfoodshed_VA,,Deployed to prod Pods service. No future work on V1 planned. V2 work in the works.,10/26/2022
"Visual Analytics Interface for Smart Foodsheds V2
""SmartFoodShed Server V2""","Continuation of V1 work, consists of 3 major components.
1. Components panel containing Data Loader, Data Processer/Analyzer, Data Viewer. To load data, to filter/query/find data, and to view data graph.
2. Pipeline Building panel to drag/drop parts to build analyzation pipeline
3. Data Editor panel to check/edit input/output of each component.",Yamei Tu,VA,"Yes, but deployed with Pods service",Tapis Pods ,,Smart Foodsheds,Any cases looking to view/manage/query KGs,"Change management mechanism via PR to github repo
Issue tracking through Github",Current version on Github. No docker images yet.,V2 Repo: https://github.com/ICICLE-ai/Smartfoodshed_VA_Flow,Documentation: http://cse-dnc215869s.cse.ohio-state.edu/ICICLE-DOC/vis/0Pipeline.html#overview,"In development currently. No docker images or deployments via the Pods service yet. Currently working with OSU to deploy there so they can quickly make changes.

Will release to Pods service once the service is ready.",10/26/2022
Kroger Closure Web Application/Dashboard,Webapp meant to visualize foodshed fallout from the removal of grocery stores in an area.,"Deepak Suresh, Harsh Panday","Smart Foodsheds RT, Foundational AI, CI4AI","Yes, will be deployed by Pods service once out of development",Tapis Pods ,,Smart Foodsheds,,,Deployment document: https://buckeyemailosu.sharepoint.com/:w:/r/sites/PandaAIInstitute/_layouts/15/Doc.aspx?sourcedoc=%7B21D3CB43-E886-48F4-94E6-2445A9611896%7D&file=Deployment-Documentation_Kroger-Closure-Scenario_2022-10-04.docx&action=default&mobileredirect=true,Repo (Private): https://github.com/ICICLE-ai/store-closure-deployment-spike,,Initial deployment done to the Pods service. Currently not working due to a websocket issue disrupting communications within the JS app.,10/26/2022
Ontology Foundry ,"Web-based software for managing ontology definitions.
Like GitHub, but metadata and processes built directly for ontologies.",Beth Plale,PADI,Yes,,,,,,,,,,10/20/2022
